global_node_id,side_node_id,side,source_touch,grid_row,grid_col,flat_index,visual_x,visual_y,section
0,0,left,touch_0,3,13,109,-6.112152000000002,7.780984999999999,0
1,1,left,touch_0,3,14,110,-5.69413511111111,7.780984999999999,0
2,2,left,touch_0,3,15,111,-5.276118222222225,7.780984999999999,0
3,3,left,touch_0,3,16,112,-4.858101333333332,7.780984999999999,0
4,4,left,touch_0,3,17,113,-4.440084444444445,7.780984999999999,0
5,5,left,touch_0,3,18,114,-4.022067555555556,7.780984999999999,0
6,6,left,touch_0,3,19,115,-3.6040506666666663,7.780984999999999,0
7,7,left,touch_0,3,20,116,-3.186033777777778,7.780984999999999,0
8,8,left,touch_0,3,21,117,-2.768016888888888,7.780984999999999,0
9,9,left,touch_0,3,22,118,-2.349999999999999,7.780984999999999,0
10,10,left,touch_0,4,13,141,-6.6933245,6.876859,0
11,11,left,touch_0,4,14,142,-6.157814277777778,6.876859,0
12,12,left,touch_0,4,15,143,-5.622304055555557,6.876859,0
13,13,left,touch_0,4,16,144,-5.086793833333332,6.876859,0
14,14,left,touch_0,4,17,145,-4.551283611111111,6.876859,0
15,15,left,touch_0,4,18,146,-4.015773388888889,6.876859,0
16,16,left,touch_0,4,19,147,-3.4802631666666657,6.876859,0
17,17,left,touch_0,4,20,148,-2.9447529444444442,6.876859,0
18,18,left,touch_0,4,21,149,-2.4092427222222215,6.876859,0
19,19,left,touch_0,4,22,150,-1.8737325,6.876859,0
20,20,left,touch_0,5,13,173,-7.274496999999999,5.972733,1
21,21,left,touch_0,5,14,174,-6.621493444444445,5.972733,1
22,22,left,touch_0,5,15,175,-5.968489888888889,5.972733,1
23,23,left,touch_0,5,16,176,-5.315486333333334,5.972733,1
24,24,left,touch_0,5,17,177,-4.662482777777779,5.972733,1
25,25,left,touch_0,5,18,178,-4.009479222222222,5.972733,1
26,26,left,touch_0,5,19,179,-3.3564756666666673,5.972733,1
27,27,left,touch_0,5,20,180,-2.703472111111111,5.972733,1
28,28,left,touch_0,5,21,181,-2.0504685555555566,5.972733,1
29,29,left,touch_0,5,22,182,-1.3974650000000004,5.972733,1
30,30,left,touch_0,6,13,205,-7.449217,5.174721,1
31,31,left,touch_0,6,14,206,-6.754479222222223,5.174721,1
32,32,left,touch_0,6,15,207,-6.059741444444445,5.174721,1
33,33,left,touch_0,6,16,208,-5.365003666666667,5.174721,1
34,34,left,touch_0,6,17,209,-4.670265888888889,5.174721,1
35,35,left,touch_0,6,18,210,-3.975528111111111,5.174721,1
36,36,left,touch_0,6,19,211,-3.280790333333335,5.174721,1
37,37,left,touch_0,6,20,212,-2.586052555555556,5.174721,1
38,38,left,touch_0,6,21,213,-1.8913147777777788,5.174721,1
39,39,left,touch_0,6,22,214,-1.196577,5.174721,1
40,40,left,touch_0,7,13,237,-7.623937,4.376708999999999,1
41,41,left,touch_0,7,14,238,-6.8874650000000015,4.376708999999999,1
42,42,left,touch_0,7,15,239,-6.150993,4.376708999999999,1
43,43,left,touch_0,7,16,240,-5.414521000000001,4.376708999999999,1
44,44,left,touch_0,7,17,241,-4.678049,4.376708999999999,1
45,45,left,touch_0,7,18,242,-3.941577,4.376708999999999,1
46,46,left,touch_0,7,19,243,-3.2051050000000014,4.376708999999999,1
47,47,left,touch_0,7,20,244,-2.4686329999999996,4.376708999999999,1
48,48,left,touch_0,7,21,245,-1.7321610000000005,4.376708999999999,1
49,49,left,touch_0,7,22,246,-0.9956889999999994,4.376708999999999,1
50,50,left,touch_0,8,14,270,-7.798656999999999,3.578697,2
51,51,left,touch_0,8,15,271,-6.923175,3.578697,2
52,52,left,touch_0,8,16,272,-6.047693000000001,3.578697,2
53,53,left,touch_0,8,17,273,-5.172211,3.578697,2
54,54,left,touch_0,8,18,274,-4.296729,3.578697,2
55,55,left,touch_0,8,19,275,-3.4212469999999993,3.578697,2
56,56,left,touch_0,8,20,276,-2.5457649999999994,3.578697,2
57,57,left,touch_0,8,21,277,-1.6702829999999995,3.578697,2
58,58,left,touch_0,8,22,278,-0.7948009999999995,3.578697,2
59,59,left,touch_0,9,14,302,-7.718992749999999,2.86402275,2
60,60,left,touch_0,9,15,303,-6.861443749999999,2.86402275,2
61,61,left,touch_0,9,16,304,-6.003894750000001,2.86402275,2
62,62,left,touch_0,9,17,305,-5.146345749999999,2.86402275,2
63,63,left,touch_0,9,18,306,-4.2887967499999995,2.86402275,2
64,64,left,touch_0,9,19,307,-3.4312477499999994,2.86402275,2
65,65,left,touch_0,9,20,308,-2.5736987499999993,2.86402275,2
66,66,left,touch_0,9,21,309,-1.7161497499999994,2.86402275,2
67,67,left,touch_0,9,22,310,-0.8586007499999995,2.86402275,2
68,68,left,touch_0,10,14,334,-7.6393285,2.1493485000000003,2
69,69,left,touch_0,10,15,335,-6.799712500000001,2.1493485000000003,2
70,70,left,touch_0,10,16,336,-5.960096500000001,2.1493485000000003,2
71,71,left,touch_0,10,17,337,-5.1204805,2.1493485000000003,2
72,72,left,touch_0,10,18,338,-4.280864500000001,2.1493485000000003,2
73,73,left,touch_0,10,19,339,-3.4412485,2.1493485000000003,2
74,74,left,touch_0,10,20,340,-2.6016324999999996,2.1493485000000003,2
75,75,left,touch_0,10,21,341,-1.7620164999999994,2.1493485000000003,2
76,76,left,touch_0,10,22,342,-0.9224004999999997,2.1493485000000003,2
77,77,left,touch_0,11,14,366,-7.559664249999999,1.4346742499999996,2
78,78,left,touch_0,11,15,367,-6.737981249999999,1.4346742499999996,2
79,79,left,touch_0,11,16,368,-5.91629825,1.4346742499999996,2
80,80,left,touch_0,11,17,369,-5.0946152499999995,1.4346742499999996,2
81,81,left,touch_0,11,18,370,-4.27293225,1.4346742499999996,2
82,82,left,touch_0,11,19,371,-3.4512492499999987,1.4346742499999996,2
83,83,left,touch_0,11,20,372,-2.6295662499999994,1.4346742499999996,2
84,84,left,touch_0,11,21,373,-1.8078832499999995,1.4346742499999996,2
85,85,left,touch_0,11,22,374,-0.9862002499999998,1.4346742499999996,2
86,86,left,touch_0,12,14,398,-7.480000000000001,0.72,3
87,87,left,touch_0,12,15,399,-6.6762500000000005,0.72,3
88,88,left,touch_0,12,16,400,-5.872500000000001,0.72,3
89,89,left,touch_0,12,17,401,-5.0687500000000005,0.72,3
90,90,left,touch_0,12,18,402,-4.265000000000001,0.72,3
91,91,left,touch_0,12,19,403,-3.4612500000000006,0.72,3
92,92,left,touch_0,12,20,404,-2.6574999999999998,0.72,3
93,93,left,touch_0,12,21,405,-1.8537500000000002,0.72,3
94,94,left,touch_0,12,22,406,-1.0499999999999998,0.72,3
95,95,left,touch_0,13,14,430,-7.419181285714286,0.028991142857142882,3
96,96,left,touch_0,13,15,431,-6.628191803571429,0.028991142857142882,3
97,97,left,touch_0,13,16,432,-5.837202321428571,0.028991142857142882,3
98,98,left,touch_0,13,17,433,-5.046212839285714,0.028991142857142882,3
99,99,left,touch_0,13,18,434,-4.255223357142858,0.028991142857142882,3
100,100,left,touch_0,13,19,435,-3.464233875,0.028991142857142882,3
101,101,left,touch_0,13,20,436,-2.6732443928571423,0.028991142857142882,3
102,102,left,touch_0,13,21,437,-1.8822549107142859,0.028991142857142882,3
103,103,left,touch_0,13,22,438,-1.0912654285714287,0.028991142857142882,3
104,104,left,touch_0,14,14,462,-7.358362571428572,-0.6620177142857141,3
105,105,left,touch_0,14,15,463,-6.580133607142858,-0.6620177142857141,3
106,106,left,touch_0,14,16,464,-5.801904642857143,-0.6620177142857141,3
107,107,left,touch_0,14,17,465,-5.02367567857143,-0.6620177142857141,3
108,108,left,touch_0,14,18,466,-4.245446714285714,-0.6620177142857141,3
109,109,left,touch_0,14,19,467,-3.46721775,-0.6620177142857141,3
110,110,left,touch_0,14,20,468,-2.6889887857142853,-0.6620177142857141,3
111,111,left,touch_0,14,21,469,-1.9107598214285717,-0.6620177142857141,3
112,112,left,touch_0,14,22,470,-1.1325308571428572,-0.6620177142857141,3
113,113,left,touch_0,15,14,494,-7.297543857142857,-1.3530265714285712,3
114,114,left,touch_0,15,15,495,-6.532075410714286,-1.3530265714285712,3
115,115,left,touch_0,15,16,496,-5.766606964285715,-1.3530265714285712,3
116,116,left,touch_0,15,17,497,-5.001138517857143,-1.3530265714285712,3
117,117,left,touch_0,15,18,498,-4.235670071428571,-1.3530265714285712,3
118,118,left,touch_0,15,19,499,-3.4702016250000005,-1.3530265714285712,3
119,119,left,touch_0,15,20,500,-2.7047331785714284,-1.3530265714285712,3
120,120,left,touch_0,15,21,501,-1.9392647321428576,-1.3530265714285712,3
121,121,left,touch_0,15,22,502,-1.1737962857142858,-1.3530265714285712,3
122,122,left,touch_0,16,14,526,-7.236725142857144,-2.044035428571428,3
123,123,left,touch_0,16,15,527,-6.484017214285713,-2.044035428571428,3
124,124,left,touch_0,16,16,528,-5.7313092857142856,-2.044035428571428,3
125,125,left,touch_0,16,17,529,-4.978601357142857,-2.044035428571428,3
126,126,left,touch_0,16,18,530,-4.225893428571428,-2.044035428571428,3
127,127,left,touch_0,16,19,531,-3.4731855,-2.044035428571428,3
128,128,left,touch_0,16,20,532,-2.7204775714285714,-2.044035428571428,3
129,129,left,touch_0,16,21,533,-1.9677696428571432,-2.044035428571428,3
130,130,left,touch_0,16,22,534,-1.2150617142857143,-2.044035428571428,3
131,131,left,touch_0,17,14,558,-7.1759064285714285,-2.7350442857142854,3
132,132,left,touch_0,17,15,559,-6.435959017857143,-2.7350442857142854,3
133,133,left,touch_0,17,16,560,-5.696011607142857,-2.7350442857142854,3
134,134,left,touch_0,17,17,561,-4.956064196428572,-2.7350442857142854,3
135,135,left,touch_0,17,18,562,-4.216116785714286,-2.7350442857142854,3
136,136,left,touch_0,17,19,563,-3.4761693750000004,-2.7350442857142854,3
137,137,left,touch_0,17,20,564,-2.7362219642857144,-2.7350442857142854,3
138,138,left,touch_0,17,21,565,-1.9962745535714292,-2.7350442857142854,3
139,139,left,touch_0,17,22,566,-1.256327142857143,-2.7350442857142854,3
140,140,left,touch_0,18,14,590,-7.115087714285715,-3.4260531428571426,3
141,141,left,touch_0,18,15,591,-6.3879008214285715,-3.4260531428571426,3
142,142,left,touch_0,18,16,592,-5.660713928571429,-3.4260531428571426,3
143,143,left,touch_0,18,17,593,-4.933527035714286,-3.4260531428571426,3
144,144,left,touch_0,18,18,594,-4.206340142857143,-3.4260531428571426,3
145,145,left,touch_0,18,19,595,-3.479153250000001,-3.4260531428571426,3
146,146,left,touch_0,18,20,596,-2.7519663571428565,-3.4260531428571426,3
147,147,left,touch_0,18,21,597,-2.024779464285715,-3.4260531428571426,3
148,148,left,touch_0,18,22,598,-1.2975925714285714,-3.4260531428571426,3
149,149,left,touch_0,19,15,623,-7.054268999999999,-4.117062,4
150,150,left,touch_0,19,16,624,-6.237781714285714,-4.117062000000001,4
151,151,left,touch_0,19,17,625,-5.421294428571429,-4.117062,4
152,152,left,touch_0,19,18,626,-4.604807142857142,-4.117062,4
153,153,left,touch_0,19,19,627,-3.7883198571428576,-4.117062,4
154,154,left,touch_0,19,20,628,-2.9718325714285716,-4.117062,4
155,155,left,touch_0,19,21,629,-2.1553452857142856,-4.117062000000001,4
156,156,left,touch_0,19,22,630,-1.3388580000000003,-4.117062,4
157,157,left,touch_0,20,15,655,-6.986890833333334,-4.873218333333333,4
158,158,left,touch_0,20,16,656,-6.184437142857142,-4.8685278571428565,4
159,159,left,touch_0,20,17,657,-5.381983452380953,-4.863837380952381,4
160,160,left,touch_0,20,18,658,-4.579529761904761,-4.859146904761904,4
161,161,left,touch_0,20,19,659,-3.777076071428572,-4.854456428571428,4
162,162,left,touch_0,20,20,660,-2.9746223809523804,-4.8497659523809515,4
163,163,left,touch_0,20,21,661,-2.1721686904761905,-4.845075476190476,4
164,164,left,touch_0,20,22,662,-1.3697150000000002,-4.8403849999999995,4
165,165,left,touch_0,21,15,687,-6.919512666666666,-5.629374666666665,4
166,166,left,touch_0,21,16,688,-6.131092571428571,-5.619993714285713,4
167,167,left,touch_0,21,17,689,-5.342672476190477,-5.610612761904761,4
